id2,geography,year,state,percent_renter,percent_asian,percent_black,percent_hispanic,percent_multifamily_housing,eviction_rate,poverty_rate,median_income,avg_cost_electricity,avg_cost_gas,avg_cost_water,asthma_rate
8031000102,"Census Tract 1.02, Denver County, Colorado",2013,CO,0.303,0,0.011,0.237,0.179502729,0.6,4.77,66042,1164,516,219.24,n/a
8031000201,"Census Tract 2.01, Denver County, Colorado",2013,CO,0.207,0.011,0.009,0.608,0.059393157,1.47,9.02,53925,1794.08,864.16,393.18,n/a
8031000202,"Census Tract 2.02, Denver County, Colorado",2013,CO,0.37,0.019,0.016,0.612,0.172121212,2.88,22.2,55455,728.76,479.35,498.19,n/a
8031000301,"Census Tract 3.01, Denver County, Colorado",2013,CO,0.381,0.023,0.007,0.317,0.225113122,0.45,3.58,55769,728.76,479.35,498.19,n/a
8031000302,"Census Tract 3.02, Denver County, Colorado",2013,CO,0.305,0.005,0.072,0.163,0.182725911,0.51,6.22,77308,2170.96,567.58,300.01,n/a
8031000303,"Census Tract 3.03, Denver County, Colorado",2013,CO,0.429,0.014,0.005,0.187,0.278454431,0.53,2.88,74142,746.61,958.93,161.05,n/a
8031000401,"Census Tract 4.01, Denver County, Colorado",2013,CO,0.441,0.005,0.028,0.4,0.249151392,0.63,7.79,51451,-9999,-9999,-9999,n/a
8031000402,"Census Tract 4.02, Denver County, Colorado",2013,CO,0.505,0.014,0.026,0.297,0.520227349,1.11,11.43,45500,1644,1644,568,n/a
8031000501,"Census Tract 5.01, Denver County, Colorado",2013,CO,0.322,0,0.003,0.181,0.161971831,1.05,2.42,75795,2170.96,567.58,300.01,n/a
8031000502,"Census Tract 5.02, Denver County, Colorado",2013,CO,0.498,0.025,0.096,0.334,0.428773919,1.73,19.91,43242,871.2,322.4,214.67,n/a
8031000600,"Census Tract 6, Denver County, Colorado",2013,CO,0.657,0.002,0.033,0.549,0.656609195,1.36,24.22,40938,325.33,692,1285.67,n/a
8031000701,"Census Tract 7.01, Denver County, Colorado",2013,CO,0.72,0.007,0.044,0.516,0.550497122,4.31,21.04,28311,2520,1260,568,n/a
8031000702,"Census Tract 7.02, Denver County, Colorado",2013,CO,0.799,0.007,0.086,0.576,0.647601476,5.45,44.98,27556,2520,1260,568,n/a
8031000800,"Census Tract 8, Denver County, Colorado",2013,CO,0.97,0.087,0.212,0.479,0.781818182,5,81.14,9537,504,636,947,n/a
8031000902,"Census Tract 9.02, Denver County, Colorado",2013,CO,0.295,0.023,0.01,0.702,0.06434024,2.5,21.71,47260,2400,636,105,n/a
8031000903,"Census Tract 9.03, Denver County, Colorado",2013,CO,0.349,0.004,0.015,0.795,0.077586207,2.26,31.07,39886,1260,888,1263,n/a
8031000904,"Census Tract 9.04, Denver County, Colorado",2013,CO,0.704,0.004,0.008,0.758,0.540425532,2.44,30.65,37393,-9999,-9999,-9999,n/a
8031000905,"Census Tract 9.05, Denver County, Colorado",2013,CO,0.476,0,0.018,0.766,0.057279236,2.3,19.69,32104,-9999,-9999,-9999,n/a
